Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|75|83||Massachusetts
Nov 10, 2018|W|88|84 |OT|Wagner
Nov 13, 2018|L|74|86||CCSU
Nov 16, 2018|L|74|82||Brown
Nov 17, 2018|W|92|85||Army
Nov 18, 2018|W|94|90||Sacred Heart
Nov 23, 2018|W|88|59||
Nov 25, 2018|L|71|83||Duquesne
Nov 27, 2018|L|75|97||Connecticut
Dec 1, 2018|W|94|71||N.J. Tech
Dec 4, 2018|L|60|79||Boston U.
Dec 7, 2018|W|110|63||Maine-Fort Kent
Dec 11, 2018|L|69|75||St. Fran.-NY
Dec 21, 2018|W|97|79||Loyola-Md.
Dec 29, 2018|W|100|91 |OT|Sacred Heart
Jan 5, 2019|L|63|75||Stony Brook
Jan 9, 2019|L|64|68||New Hamp.
Jan 12, 2019|W|74|63||UMBC
Jan 16, 2019|W|84|72||Albany
Jan 19, 2019|W|76|73||Hartford
Jan 23, 2019|W|85|79||Binghamton
Jan 30, 2019|L|59|78||Maine
Feb 2, 2019|L|65|74||Vermont
Feb 6, 2019|W|72|62||New Hamp.
Feb 9, 2019|L|65|76||Stony Brook
Feb 13, 2019|W|86|54||Albany
Feb 16, 2019|L|66|70||UMBC

Total Points For:|2120
Total Points Against:|2051
Average Points For:|78.5185185185
Average Points Against:|75.962962963
Average Point Difference:|2.55555555556

Win Percentage:|51.8518518519
