Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|L|65|87||Saint Mary&#039;s
Nov 9, 2018|L|52|80||Arizona St.
Nov 16, 2018|L|78|79||
Nov 20, 2018|W|74|60||
Nov 23, 2018|W|80|42||
Nov 29, 2018|L|59|91||SMU
Dec 1, 2018|L|66|67||NC Central
Dec 4, 2018|L|77|90||Miss. State
Dec 13, 2018|W|77|61||NC Central
Dec 15, 2018|L|67|80||UMKC
Dec 18, 2018|L|67|80||Louisiana
Dec 22, 2018|L|64|68||UT-Rio Grande Valley
Dec 30, 2018|W|91|73||
Jan 2, 2019|W|88|77||Incarnate Word
Jan 5, 2019|L|61|66||Northwestern St.
Jan 9, 2019|L|72|73||Abil Christian
Jan 12, 2019|L|66|79||New Orleans
Jan 16, 2019|W|86|75||Nicholls St.
Jan 19, 2019|L|71|74||SE Louisiana
Jan 26, 2019|W|79|73||Houston Bap.
Feb 2, 2019|L|75|84||Lamar
Feb 6, 2019|L|62|77||Sam Houston
Feb 9, 2019|L|72|74||Northwestern St.
Feb 13, 2019|L|57|67||SF Austin
Feb 16, 2019|L|52|88||SE Louisiana

Total Points For:|1758
Total Points Against:|1865
Average Points For:|70.32
Average Points Against:|74.6
Average Point Difference:|-4.28

Win Percentage:|28.0
