Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|73|67||Delaware
Nov 9, 2018|W|78|57||Navy
Nov 12, 2018|W|82|59||NC A&amp;T
Nov 16, 2018|W|80|69||Hofstra
Nov 18, 2018|W|92|77||Mt St Mary&#039;s
Nov 23, 2018|W|104|67||Marshall
Nov 28, 2018|L|71|76||Virginia
Dec 1, 2018|W|66|59||Penn St.
Dec 6, 2018|L|60|62||Purdue
Dec 8, 2018|W|55|41||Loyola-Chi.
Dec 11, 2018|W|94|71||Loyola-Md.
Dec 22, 2018|L|74|78||Seton Hall
Dec 29, 2018|W|78|64||Radford
Jan 2, 2019|W|74|72||Nebraska
Jan 5, 2019|W|77|63||Rutgers
Jan 8, 2019|W|82|67||Minnesota
Jan 11, 2019|W|78|75||Indiana
Jan 14, 2019|W|64|60||Wisconsin
Jan 18, 2019|W|75|61||Ohio St.
Jan 21, 2019|L|55|69||Michigan St.
Jan 26, 2019|L|67|78||Illinois
Jan 29, 2019|W|70|52||Northwestern
Feb 1, 2019|L|61|69||Wisconsin
Feb 6, 2019|W|60|45||Nebraska
Feb 12, 2019|W|70|56||Purdue
Feb 16, 2019|L|52|65||Michigan

Total Points For:|1892
Total Points Against:|1679
Average Points For:|72.7692307692
Average Points Against:|64.5769230769
Average Point Difference:|8.19230769231

Win Percentage:|73.0769230769
