Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|67|75||UAB
Nov 9, 2018|W|105|52||
Nov 13, 2018|L|60|62||Georgia St.
Nov 16, 2018|W|77|60||UT Martin
Nov 20, 2018|W|80|42||Md.-E. Shore
Nov 24, 2018|L|74|78||NC State
Nov 27, 2018|W|90|65||
Dec 1, 2018|L|69|79||The Citadel
Dec 5, 2018|L|64|68||FAU
Dec 8, 2018|L|74|89||Ga. Southern
Dec 18, 2018|L|63|71||Florida
Dec 21, 2018|W|77|73||UNC-Wilm.
Dec 29, 2018|L|67|71||Harvard
Jan 3, 2019|L|58|71||Furman
Jan 5, 2019|L|74|78||Wofford
Jan 10, 2019|W|84|80||W. Carolina
Jan 12, 2019|L|68 |72|OT|ETSU
Jan 17, 2019|L|70|73||Chattanooga
Jan 19, 2019|W|93|87||Samford
Jan 24, 2019|W|88|68||VMI
Jan 26, 2019|L|81|88||UNC-Green.
Jan 31, 2019|L|67|76||Wofford
Feb 2, 2019|L|63|74||Furman
Feb 9, 2019|L|61|67||The Citadel
Feb 14, 2019|W|74|65||W. Carolina
Feb 16, 2019|L|69|88||ETSU

Total Points For:|1917
Total Points Against:|1872
Average Points For:|73.7307692308
Average Points Against:|72.0
Average Point Difference:|1.73076923077

Win Percentage:|34.6153846154
