Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|83|62||Lehigh
Nov 13, 2018|W|96|58||SF Austin
Nov 17, 2018|W|78|70||Bethune-Cook.
Nov 22, 2018|W|85|49||La Salle
Nov 23, 2018|W|78|76||Fresno St.
Nov 25, 2018|L|81|83||Seton Hall
Nov 28, 2018|L|54|57||Rutgers
Dec 1, 2018|L|73|77||Yale
Dec 4, 2018|L|75|89||Penn
Dec 19, 2018|W|80|73||Houston Bap.
Dec 22, 2018|W|75|55||FAU
Dec 29, 2018|W|73|62||Campbell
Jan 3, 2019|L|82|87||NC State
Jan 6, 2019|L|73|90||Louisville
Jan 9, 2019|L|62|68||Florida St.
Jan 12, 2019|W|76|65||Wake Forest
Jan 19, 2019|L|76|85||North Carolina
Jan 24, 2019|L|53|73||Syracuse
Jan 27, 2019|L|66|78||Florida St.
Jan 30, 2019|L|70|82||Virginia Tech
Feb 2, 2019|L|46|56||Virginia
Feb 6, 2019|W|62|47||Notre Dame
Feb 9, 2019|L|85 |88|OT|North Carolina
Feb 13, 2019|W|65|64||Clemson
Feb 17, 2019|L|57|64||Boston College

Total Points For:|1804
Total Points Against:|1758
Average Points For:|72.16
Average Points Against:|70.32
Average Point Difference:|1.84

Win Percentage:|44.0
