Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|L|68|90||Butler
Nov 12, 2018|W|91|42||Midway
Nov 16, 2018|W|89|78||N. Dakota St.
Nov 17, 2018|L|71|73||Montana
Nov 18, 2018|L|80|86||Pepperdine
Nov 24, 2018|W|85|55||Army
Nov 28, 2018|L|55|82||Xavier
Dec 1, 2018|W|88|57||
Dec 5, 2018|W|65|62||Wright St.
Dec 8, 2018|W|85|79||PFW
Dec 16, 2018|L|66|72||N. Kentucky
Dec 20, 2018|W|79|55||SC State
Dec 30, 2018|W|70|67||Evansville
Jan 5, 2019|L|77|84||C. Michigan
Jan 8, 2019|L|70|83||N. Illinois
Jan 12, 2019|L|64|88||Buffalo
Jan 15, 2019|L|59|71||Toledo
Jan 19, 2019|W|68|61||Akron
Jan 22, 2019|W|71|65||Ball St.
Jan 26, 2019|W|67|53||Bowling Green
Jan 29, 2019|L|63|66||Toledo
Feb 2, 2019|W|59|48||E. Michigan
Feb 5, 2019|L|67|70||Kent St.
Feb 9, 2019|W|79|59||Ohio
Feb 16, 2019|L|79 |84|OT|W. Michigan

Total Points For:|1815
Total Points Against:|1730
Average Points For:|72.6
Average Points Against:|69.2
Average Point Difference:|3.4

Win Percentage:|52.0
