Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|63|44||Norfolk St.
Nov 10, 2018|W|56|37||Holy Cross
Nov 14, 2018|W|73|46||Villanova
Nov 17, 2018|W|84|61||George Wash.
Nov 18, 2018|W|66|47||Providence
Nov 23, 2018|W|83|55||Chattanooga
Nov 28, 2018|W|84|67||North Carolina
Dec 1, 2018|W|76|57||Purdue
Dec 4, 2018|W|62|60||Northwestern
Dec 8, 2018|W|89|78||South Carolina
Dec 15, 2018|W|70|62||W. Michigan
Dec 22, 2018|W|71|50||Air Force
Dec 30, 2018|W|74|52||Binghamton
Jan 3, 2019|W|68|55||Penn St.
Jan 6, 2019|W|74|63||Indiana
Jan 10, 2019|W|79|69||Illinois
Jan 13, 2019|W|80|60||Northwestern
Jan 19, 2019|L|54|64||Wisconsin
Jan 22, 2019|W|59|57||Minnesota
Jan 25, 2019|W|69|46||Indiana
Jan 29, 2019|W|65|49||Ohio St.
Feb 1, 2019|L|59|74||Iowa
Feb 5, 2019|W|77|65||Rutgers
Feb 9, 2019|W|61|52||Wisconsin
Feb 12, 2019|L|69|75||Penn St.
Feb 16, 2019|W|65|52||Maryland

Total Points For:|1830
Total Points Against:|1497
Average Points For:|70.3846153846
Average Points Against:|57.5769230769
Average Point Difference:|12.8076923077

Win Percentage:|88.4615384615
