Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|53|73||Boston College
Nov 10, 2018|L|60|63||North Dakota
Nov 13, 2018|L|83|86||FIU
Nov 16, 2018|L|63|74||Cincinnati
Nov 20, 2018|W|92|87 |OT|LIU-Brooklyn
Nov 23, 2018|W|79|70||Albany
Nov 30, 2018|L|77|96||Buffalo
Dec 1, 2018|L|51|66||SF Austin
Dec 6, 2018|L|61|75||Drake
Dec 9, 2018|L|72|83||North Dakota
Dec 13, 2018|W|69|66||UMKC
Dec 16, 2018|W|87|64||
Dec 22, 2018|W|67|66||W. Michigan
Dec 29, 2018|L|82|92||Green Bay
Jan 3, 2019|W|83|76||Clev. St.
Jan 5, 2019|L|51|76||Youngstown St.
Jan 10, 2019|W|67|64||Oakland
Jan 12, 2019|L|84|93||Detroit
Jan 17, 2019|W|81|69||Ill.-Chicago
Jan 19, 2019|W|64|57||IUPUI
Jan 24, 2019|L|54|56||Wright St.
Jan 26, 2019|L|60|73||N. Kentucky
Feb 1, 2019|L|74|90||Green Bay
Feb 7, 2019|L|71|72||Youngstown St.
Feb 9, 2019|L|68|78||Clev. St.
Feb 14, 2019|L|84|90||Detroit
Feb 16, 2019|L|73|89||Oakland

Total Points For:|1910
Total Points Against:|2044
Average Points For:|70.7407407407
Average Points Against:|75.7037037037
Average Point Difference:|-4.96296296296

Win Percentage:|33.3333333333
