Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|104|76||Neb.-Omaha
Nov 12, 2018|W|78|69||Utah
Nov 18, 2018|W|69|64||Texas A&amp;M
Nov 20, 2018|W|80|66||Santa Clara
Nov 21, 2018|W|68|66||Washington
Nov 26, 2018|L|56|68||Boston College
Nov 30, 2018|W|83|76||Oklahoma St.
Dec 2, 2018|L|59|79||Ohio St.
Dec 5, 2018|W|85|78||Nebraska
Dec 8, 2018|W|72|56||Arkansas St.
Dec 11, 2018|W|80|71||North Florida
Dec 21, 2018|W|86|67||NC A&amp;T
Dec 30, 2018|W|71|53||Mt St Mary&#039;s
Jan 3, 2019|W|59|52||Wisconsin
Jan 8, 2019|L|67|82||Maryland
Jan 12, 2019|W|88|70||Rutgers
Jan 16, 2019|L|68|95||Illinois
Jan 19, 2019|W|65|64||Penn St.
Jan 22, 2019|L|57|59||Michigan
Jan 27, 2019|W|92|87||Iowa
Jan 30, 2019|W|86|75||Illinois
Feb 3, 2019|L|63|73||Purdue
Feb 6, 2019|L|51|56||Wisconsin
Feb 9, 2019|L|55|79||Michigan St.
Feb 13, 2019|L|61|62||Nebraska
Feb 16, 2019|W|84|63||Indiana

Total Points For:|1887
Total Points Against:|1806
Average Points For:|72.5769230769
Average Points Against:|69.4615384615
Average Point Difference:|3.11538461538

Win Percentage:|65.3846153846
