Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|W|90|64||W. Michigan
Nov 16, 2018|L|76|83||Butler
Nov 20, 2018|W|75|55||Nicholls St.
Nov 23, 2018|W|78|70||Baylor
Nov 24, 2018|L|57|71||Cincinnati
Nov 28, 2018|W|93|86||San Diego
Dec 1, 2018|W|83|60||UL-Monroe
Dec 8, 2018|W|81|74||Illinois St.
Dec 12, 2018|W|69|47||SE Louisiana
Dec 16, 2018|W|90|70||Chattanooga
Dec 21, 2018|W|74|56||Middle Tenn.
Dec 29, 2018|W|87|57||FGCU
Jan 5, 2019|W|81|71||Vanderbilt
Jan 9, 2019|W|82|67||Auburn
Jan 12, 2019|W|81|77||Miss. State
Jan 15, 2019|L|69|83||LSU
Jan 19, 2019|W|84|67||Arkansas
Jan 22, 2019|L|53|74||Alabama
Jan 26, 2019|L|73|87||Iowa St.
Jan 30, 2019|L|86 |90|OT|Florida
Feb 2, 2019|L|75|81||Miss. State
Feb 6, 2019|W|75|71||Texas A&amp;M
Feb 9, 2019|W|80|64||Georgia
Feb 13, 2019|W|60|55||Auburn
Feb 16, 2019|W|75|65||Missouri

Total Points For:|1927
Total Points Against:|1745
Average Points For:|77.08
Average Points Against:|69.8
Average Point Difference:|7.28

Win Percentage:|72.0
