Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|95|67||Austin Peay
Nov 11, 2018|W|77|59||Hartford
Nov 16, 2018|W|79|51||LBSU
Nov 19, 2018|L|67|72||Arizona St.
Nov 21, 2018|W|61|57||Saint Mary&#039;s
Nov 26, 2018|W|88|65||Alcorn St.
Nov 30, 2018|W|65|58||Dayton
Dec 4, 2018|W|90|77||McNeese St.
Dec 8, 2018|W|82|71||Clemson
Dec 15, 2018|W|70|59||Cincinnati
Dec 19, 2018|W|98|87||Wofford
Dec 22, 2018|W|67|63||Wright St.
Dec 29, 2018|W|103|81||BYU
Jan 8, 2019|L|82 |87|OT|South Carolina
Jan 12, 2019|L|77|81||Ole Miss
Jan 15, 2019|W|71|68||Florida
Jan 19, 2019|W|71|55||Vanderbilt
Jan 22, 2019|L|55|76||Kentucky
Jan 26, 2019|W|92|84||Auburn
Jan 29, 2019|L|79|83||Alabama
Feb 2, 2019|W|81|75||Ole Miss
Feb 6, 2019|L|88 |92|OT|LSU
Feb 9, 2019|L|67|71||Kentucky
Feb 12, 2019|W|81|62||Alabama
Feb 16, 2019|W|77|67||Arkansas

Total Points For:|1963
Total Points Against:|1768
Average Points For:|78.52
Average Points Against:|70.72
Average Point Difference:|7.8

Win Percentage:|72.0
