Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|68|55||Cent. Arkansas
Nov 9, 2018|L|59|76||Iowa St.
Nov 16, 2018|W|55|52||Kennesaw St.
Nov 18, 2018|W|69|63||Oregon St.
Nov 19, 2018|L|67|82||Kansas St.
Nov 27, 2018|L|77|79||Temple
Dec 2, 2018|W|64|62 |OT|UCF
Dec 4, 2018|W|65|45||UT-Arlington
Dec 7, 2018|W|80|64||Oral Roberts
Dec 18, 2018|W|71|56||Xavier
Dec 22, 2018|W|79|63||Illinois
Dec 29, 2018|W|75|61||Morehead St.
Jan 8, 2019|L|63|87||Tennessee
Jan 13, 2019|L|75|85||South Carolina
Jan 16, 2019|L|60|70||South Carolina
Jan 19, 2019|W|66|43||Alabama
Jan 23, 2019|L|60|72||Texas A&amp;M
Jan 26, 2019|L|80 |86|OT|Arkansas
Jan 30, 2019|L|58|92||LSU
Feb 2, 2019|W|77|67||Auburn
Feb 5, 2019|L|60|72||Vanderbilt
Feb 9, 2019|L|59|68||Tennessee
Feb 12, 2019|W|79|78||Texas A&amp;M
Feb 16, 2019|L|65|75||Arkansas

Total Points For:|1631
Total Points Against:|1653
Average Points For:|67.9583333333
Average Points Against:|68.875
Average Point Difference:|-0.916666666667

Win Percentage:|50.0
