Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|61|85||Lehigh
Nov 9, 2018|L|74|87||Colgate
Nov 12, 2018|L|63|78||Saint Joseph&#039;s
Nov 15, 2018|L|53|71||West Virginia
Nov 16, 2018|L|53|64||Valparaiso
Nov 18, 2018|L|63|87||CSFullerton
Nov 24, 2018|L|57|60||Princeton
Nov 28, 2018|L|44|90||Kentucky
Dec 1, 2018|L|43|65||Bucknell
Dec 5, 2018|L|73|75||Hofstra
Dec 8, 2018|L|63|82||Albany
Dec 20, 2018|L|58|66||Yale
Dec 31, 2018|W|76|74 |OT|Penn
Jan 3, 2019|L|84|103||Iona
Jan 5, 2019|W|61|44||St. Peter&#039;s
Jan 10, 2019|L|83 |89|OT|Quinnipiac
Jan 12, 2019|W|65|49||Manhattan
Jan 14, 2019|W|63|60 |OT|Siena
Jan 17, 2019|W|74|57||Fairfield
Jan 20, 2019|W|83|81||Iona
Jan 24, 2019|L|66|80||Canisius
Jan 26, 2019|L|48|75||Niagara
Jan 31, 2019|W|66|55||Siena
Feb 2, 2019|W|75|71||Rider
Feb 7, 2019|W|53|51||St. Peter&#039;s
Feb 9, 2019|W|61|49||Fairfield
Feb 15, 2019|L|72|81||Rider
Feb 17, 2019|L|67|75||Marist

Total Points For:|1802
Total Points Against:|2004
Average Points For:|64.3571428571
Average Points Against:|71.5714285714
Average Point Difference:|-7.21428571429

Win Percentage:|35.7142857143
