Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|81|74||Georgia St.
Nov 12, 2018|W|79|55||Montana Tech
Nov 16, 2018|W|93|66||Incarnate Word
Nov 17, 2018|W|73|71||Miami (Ohio)
Nov 18, 2018|L|77|80||Ga. Southern
Nov 28, 2018|L|72|98||Creighton
Dec 3, 2018|W|80|52||
Dec 8, 2018|L|51|60||UC Irvine
Dec 17, 2018|W|60|53||N. Dakota St.
Dec 19, 2018|L|42|61||Arizona
Dec 22, 2018|W|85|74||S. Dak. St.
Dec 29, 2018|W|86|73||N. Arizona
Dec 31, 2018|W|89|76||So. Utah
Jan 3, 2019|W|87|56||Sacramento St.
Jan 5, 2019|L|74 |77|OT|Portland St.
Jan 10, 2019|L|71|78||E. Washington
Jan 12, 2019|W|88|64||N. Colorado
Jan 19, 2019|W|69|51||Idaho
Jan 24, 2019|W|80|69||Idaho St.
Jan 26, 2019|W|75|68||Weber St.
Feb 2, 2019|W|83|78||Montana St.
Feb 7, 2019|W|100|59||Idaho
Feb 9, 2019|W|75|74||E. Washington
Feb 14, 2019|W|83|80||Weber St.
Feb 16, 2019|W|80|68||Idaho St.

Total Points For:|1933
Total Points Against:|1715
Average Points For:|77.32
Average Points Against:|68.6
Average Point Difference:|8.72

Win Percentage:|76.0
