Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|71|101||Utah St.
Nov 9, 2018|L|35|80||Indiana
Nov 11, 2018|W|83|68||
Nov 14, 2018|L|77|81||Colorado St.
Nov 17, 2018|L|69|88||UCSB
Nov 21, 2018|L|68|90||Arkansas
Nov 24, 2018|L|65|89||Neb.-Omaha
Nov 27, 2018|W|81|76||North Dakota
Dec 9, 2018|W|95|90||Washington St.
Dec 18, 2018|L|64|76||Denver
Dec 29, 2018|W|92|62||So. Utah
Dec 31, 2018|L|68|74||N. Arizona
Jan 3, 2019|W|98|88||Portland St.
Jan 5, 2019|W|84|70||Sacramento St.
Jan 10, 2019|W|77|67||Idaho
Jan 14, 2019|L|70|73||N. Colorado
Jan 19, 2019|L|81|85||E. Washington
Jan 24, 2019|L|84|93||Weber St.
Jan 26, 2019|W|104|84||Idaho St.
Feb 2, 2019|L|78|83||Montana
Feb 4, 2019|W|69|66||N. Colorado
Feb 7, 2019|W|74|66||E. Washington
Feb 9, 2019|W|86|72||Idaho
Feb 14, 2019|W|84|76||Idaho St.
Feb 16, 2019|L|82|94||Weber St.

Total Points For:|1939
Total Points Against:|1992
Average Points For:|77.56
Average Points Against:|79.68
Average Point Difference:|-2.12

Win Percentage:|48.0
