Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|102|82||Ky. Christian
Nov 8, 2018|L|70|80||Connecticut
Nov 10, 2018|L|70|84||Syracuse
Nov 16, 2018|W|99|89||UMKC
Nov 17, 2018|L|70|87||Green Bay
Nov 25, 2018|L|55|87||Lipscomb
Nov 27, 2018|L|71|93||N. Kentucky
Nov 30, 2018|W|103|50||Ohio Chill.
Dec 10, 2018|L|64|76||Marshall
Dec 13, 2018|L|72 |77|OT|Samford
Dec 18, 2018|L|67|78||Wright St.
Dec 21, 2018|W|74|70||IUPUI
Dec 29, 2018|L|61|75||Missouri
Jan 3, 2019|L|69|90||Murray St.
Jan 5, 2019|L|67|81||Austin Peay
Jan 10, 2019|L|60|77||Belmont
Jan 12, 2019|W|74|61||Tennessee St.
Jan 17, 2019|W|73|69||SE Missouri St.
Jan 19, 2019|W|85|77||UT Martin
Jan 24, 2019|W|67|61||Tenn. Tech
Jan 26, 2019|L|71|77||Jax. State
Jan 31, 2019|L|76|83||SIUE
Feb 2, 2019|W|84|78||E. Illinois
Feb 7, 2019|L|80 |81|OT|Tennessee St.
Feb 9, 2019|L|86|96||Belmont
Feb 14, 2019|W|78|72||E. Kentucky
Feb 16, 2019|L|70|73||Austin Peay

Total Points For:|2018
Total Points Against:|2104
Average Points For:|74.7407407407
Average Points Against:|77.9259259259
Average Point Difference:|-3.18518518519

Win Percentage:|37.037037037
