Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|77|100||Villanova
Nov 9, 2018|L|62|80||St. Fran.-Pa.
Nov 12, 2018|L|63|91||DePaul
Nov 20, 2018|W|75|51||
Nov 25, 2018|W|78|68||Navy
Nov 28, 2018|L|75|82||Mt St Mary&#039;s
Dec 3, 2018|L|45|83||George Mason
Dec 5, 2018|W|74|68||Virginia
Dec 8, 2018|W|74|69||Binghamton
Dec 17, 2018|W|85|78||Towson
Dec 22, 2018|L|53|76||
Dec 29, 2018|L|86|94||Old Dominion
Jan 3, 2019|L|75|77||CSNorthridge 
Jan 5, 2019|W|66|53||
Jan 7, 2019|L|87 |88|OT|Md.-E. Shore
Jan 12, 2019|L|68|72||Savannah St.
Jan 15, 2019|W|89|86 |OT|SC State
Jan 19, 2019|L|53|57||Howard
Jan 21, 2019|L|64|92||Howard
Jan 26, 2019|W|77|71||NC A&amp;T
Jan 28, 2019|L|66|72||NC Central
Feb 2, 2019|L|71|73||Bethune-Cook.
Feb 9, 2019|L|81|85||Florida A&amp;M
Feb 11, 2019|L|85|88||Coppin St.

Total Points For:|1729
Total Points Against:|1854
Average Points For:|72.0416666667
Average Points Against:|77.25
Average Point Difference:|-5.20833333333

Win Percentage:|33.3333333333
