Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|55|105||NC State
Nov 9, 2018|L|61|79||Hofstra
Nov 14, 2018|L|75|98||Marshall
Nov 18, 2018|L|77|92||Maryland
Nov 21, 2018|L|60|74||NC A&amp;T
Nov 25, 2018|L|68|78||Morgan St.
Dec 1, 2018|L|65|75||Loyola-Md.
Dec 5, 2018|L|71|85||St. John&#039;s
Dec 8, 2018|L|78|85||Lehigh
Dec 15, 2018|W|74|59||Wilson
Dec 18, 2018|W|56|55||American
Dec 22, 2018|W|83|44||
Dec 30, 2018|L|53|71||Minnesota
Jan 3, 2019|L|69|80||St. Fran.-Pa.
Jan 5, 2019|L|59|62||Robert Morris
Jan 10, 2019|L|59|66||Bryant
Jan 12, 2019|L|68|77||CCSU
Jan 19, 2019|W|70|56||Wagner
Jan 21, 2019|L|69|87||F. Dickinson
Jan 24, 2019|W|74|72||LIU-Brooklyn
Jan 26, 2019|L|67|74||St. Fran.-NY
Jan 31, 2019|L|79|87||Sacred Heart
Feb 2, 2019|L|63|72||St. Fran.-Pa.
Feb 7, 2019|L|62|77||LIU-Brooklyn
Feb 9, 2019|W|76|73||Sacred Heart
Feb 14, 2019|W|76|62||Robert Morris
Feb 16, 2019|L|56|58||Wagner

Total Points For:|1823
Total Points Against:|2003
Average Points For:|67.5185185185
Average Points Against:|74.1851851852
Average Point Difference:|-6.66666666667

Win Percentage:|25.9259259259
