Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|105|77||E. Kentucky
Nov 11, 2018|W|76|72||Hofstra
Nov 14, 2018|W|98|75||Mt St Mary&#039;s
Nov 19, 2018|W|95|71||NC A&amp;T
Nov 23, 2018|L|67|104||Maryland
Nov 28, 2018|W|84|64||William &amp; Mary
Dec 1, 2018|L|84|101||Ohio
Dec 5, 2018|L|82|93||Duquesne
Dec 8, 2018|L|74 |75|OT|Toledo
Dec 10, 2018|W|76|64||Morehead St.
Dec 15, 2018|W|75|74||Akron
Dec 22, 2018|L|68|92||Texas A&amp;M
Dec 31, 2018|L|64|100||Virginia
Jan 3, 2019|W|70|67||Old Dominion
Jan 5, 2019|W|85|84||Charlotte
Jan 12, 2019|W|70|69||W. Kentucky
Jan 17, 2019|W|96|84||FAU
Jan 19, 2019|W|105|97||FIU
Jan 21, 2019|L|59|68||W. Kentucky
Jan 24, 2019|L|80 |89|OT|Louisiana Tech
Jan 26, 2019|L|51|101||So. Miss
Jan 31, 2019|W|91|86||UTEP
Feb 2, 2019|L|106 |116|OT|UT-San Antonio
Feb 7, 2019|L|51|78||North Texas
Feb 9, 2019|L|69|74||Rice
Feb 14, 2019|L|68|77||UAB
Feb 16, 2019|W|98|93||Middle Tenn.

Total Points For:|2147
Total Points Against:|2245
Average Points For:|79.5185185185
Average Points Against:|83.1481481481
Average Point Difference:|-3.62962962963

Win Percentage:|51.8518518519
