Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|91|69||Lees-McCrae
Nov 9, 2018|W|102|70||
Nov 12, 2018|L|73|92||Belmont
Nov 16, 2018|W|76|73||Charleston So.
Nov 21, 2018|L|52|74||Virginia
Nov 22, 2018|L|53|84||Butler
Nov 23, 2018|L|54|67||Stanford
Dec 1, 2018|L|74|84||Lipscomb
Dec 5, 2018|L|51|79||Vanderbilt
Dec 8, 2018|L|42|64||Murray St.
Dec 15, 2018|L|62|84||Toledo
Dec 21, 2018|L|56|74||Ole Miss
Dec 30, 2018|L|60|72||Rhode Island
Jan 3, 2019|L|76|83||FIU
Jan 5, 2019|L|56|63||FAU
Jan 10, 2019|L|70|77||So. Miss
Jan 12, 2019|L|56|73||Louisiana Tech
Jan 17, 2019|W|89|86||UT-San Antonio
Jan 19, 2019|W|75|72||UTEP
Jan 24, 2019|L|68|79||Rice
Jan 26, 2019|L|53|70||North Texas
Jan 30, 2019|W|71|65||UAB
Feb 2, 2019|W|79|78||UAB
Feb 7, 2019|W|71|53||Charlotte
Feb 9, 2019|L|50|55||Old Dominion
Feb 14, 2019|L|63|71||W. Kentucky
Feb 16, 2019|L|93|98||Marshall

Total Points For:|1816
Total Points Against:|2009
Average Points For:|67.2592592593
Average Points Against:|74.4074074074
Average Point Difference:|-7.14814814815

Win Percentage:|29.6296296296
