Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|W|73|54||Wright St.
Nov 16, 2018|W|106|36||
Nov 24, 2018|W|77|66||Missouri St.
Nov 26, 2018|L|72|78||Alabama
Dec 1, 2018|W|83|67||Prairie View
Dec 8, 2018|W|64|42||Middle Tenn.
Dec 12, 2018|W|80|52||S. Illinois
Dec 15, 2018|W|74|57||Jackson St.
Dec 18, 2018|W|66|64||Evansville
Dec 22, 2018|L|88|93||Auburn
Dec 29, 2018|W|110|82||
Jan 3, 2019|W|90|69||Morehead St.
Jan 5, 2019|W|97|85||E. Kentucky
Jan 10, 2019|W|98|77||UT Martin
Jan 12, 2019|W|85|67||SE Missouri St.
Jan 17, 2019|W|83|61||E. Illinois
Jan 19, 2019|W|82|72||SIUE
Jan 24, 2019|L|66|79||Belmont
Jan 26, 2019|W|100|62||Tennessee St.
Jan 31, 2019|L|68|88||Jax. State
Feb 2, 2019|W|67|63||Tenn. Tech
Feb 7, 2019|W|86|75||E. Illinois
Feb 9, 2019|W|86|55||SIUE
Feb 14, 2019|W|73|71||Austin Peay
Feb 16, 2019|W|102|70||E. Kentucky

Total Points For:|2076
Total Points Against:|1685
Average Points For:|83.04
Average Points Against:|67.4
Average Point Difference:|15.64

Win Percentage:|84.0
