Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|74|91||Samford
Nov 10, 2018|W|72|59||
Nov 13, 2018|L|58|69||Saint Louis
Nov 17, 2018|L|66|71||Pittsburgh
Nov 20, 2018|W|80|68||
Nov 24, 2018|L|58|77||Troy
Nov 28, 2018|L|59|80||Toledo
Dec 1, 2018|L|65|76||Jax. State
Dec 4, 2018|L|67|73||UAB
Dec 13, 2018|W|90|58||
Dec 15, 2018|L|48|53||UNC-Green.
Dec 18, 2018|L|50|64||Jax. State
Dec 21, 2018|L|68|89||VMI
Dec 28, 2018|L|51|96||Gonzaga
Dec 30, 2018|L|70|81||E. Illinois
Jan 5, 2019|L|67|96||North Florida
Jan 8, 2019|W|61|56||FGCU
Jan 12, 2019|W|61|55||N.J. Tech
Jan 16, 2019|W|91|88||Jacksonville
Jan 19, 2019|W|63|62||Stetson
Jan 21, 2019|L|47|72||Liberty
Jan 24, 2019|W|76|71||Kennesaw St.
Jan 27, 2019|L|70 |76|OT|N.J. Tech
Feb 2, 2019|L|80|102||Lipscomb
Feb 6, 2019|L|64|71||FGCU
Feb 9, 2019|L|73|82||North Florida
Feb 16, 2019|L|70|80||Liberty

Total Points For:|1799
Total Points Against:|2016
Average Points For:|66.6296296296
Average Points Against:|74.6666666667
Average Point Difference:|-8.03703703704

Win Percentage:|29.6296296296
