Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|W|97|82||Jacksonville
Nov 12, 2018|L|74|90||South Dakota
Nov 14, 2018|W|76|66||Neb.-Omaha
Nov 18, 2018|L|68|85||Hawaii
Nov 29, 2018|L|57|73||UC Davis
Dec 1, 2018|L|74|81||Santa Clara
Dec 8, 2018|L|78|98||Utah Valley
Dec 15, 2018|L|74|79||San Jose St.
Dec 19, 2018|L|60|76||San Fran.
Dec 21, 2018|L|62|76||Utah
Dec 29, 2018|L|73|86||Montana
Dec 31, 2018|W|74|68||Montana St.
Jan 3, 2019|L|52|77||Weber St.
Jan 5, 2019|W|81|69||Idaho St.
Jan 12, 2019|L|82|84||So. Utah
Jan 17, 2019|L|64|66||Sacramento St.
Jan 19, 2019|W|82|75||Portland St.
Jan 26, 2019|L|48|63||N. Colorado
Jan 28, 2019|W|80|77 |OT|So. Utah
Feb 2, 2019|W|86|73||Idaho
Feb 4, 2019|L|64|82||E. Washington
Feb 7, 2019|L|79|81||Idaho St.
Feb 9, 2019|L|71|86||Weber St.
Feb 14, 2019|L|94|103||Portland St.
Feb 16, 2019|W|78|66||Sacramento St.

Total Points For:|1828
Total Points Against:|1962
Average Points For:|73.12
Average Points Against:|78.48
Average Point Difference:|-5.36

Win Percentage:|32.0
