Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|44|67||Old Dominion
Nov 9, 2018|L|57|78||Maryland
Nov 14, 2018|W|77|58||Coppin St.
Nov 18, 2018|W|83|79||Bryant
Nov 20, 2018|L|51|75||Morgan St.
Nov 28, 2018|L|58|76||Liberty
Dec 1, 2018|L|50|67||Brown
Dec 5, 2018|W|80|65||Delaware
Dec 9, 2018|L|81|107||Lipscomb
Dec 21, 2018|L|63|84||George Mason
Dec 30, 2018|L|50|61||Cornell
Jan 3, 2019|W|72|66||Colgate
Jan 6, 2019|W|50|48||Holy Cross
Jan 9, 2019|L|63|71||American
Jan 12, 2019|L|69|75||Boston U.
Jan 16, 2019|W|85|77||Lafayette
Jan 19, 2019|L|61|72||Army
Jan 23, 2019|L|74|85||Lehigh
Jan 26, 2019|L|64|69||Holy Cross
Jan 30, 2019|L|57|69||Bucknell
Feb 2, 2019|W|71|68||Loyola-Md.
Feb 6, 2019|W|77|67||American
Feb 9, 2019|L|57|83||Lehigh
Feb 13, 2019|L|74|80||Lafayette
Feb 16, 2019|W|79|68||Army

Total Points For:|1647
Total Points Against:|1815
Average Points For:|65.88
Average Points Against:|72.6
Average Point Difference:|-6.72

Win Percentage:|36.0
