Date|Win?|Points For|Points Against|OT?|Opponent
Nov 8, 2018|W|87|47||St. Andrews
Nov 13, 2018|L|49|100||NC State
Nov 16, 2018|L|50|77||N. Kentucky
Nov 17, 2018|L|52|78||Coastal Carolina
Nov 18, 2018|L|38|54||Manhattan
Nov 25, 2018|L|51|65||Furman
Dec 1, 2018|L|70|87||UT Martin
Dec 4, 2018|L|41|67||Auburn
Dec 8, 2018|L|59|71||W. Carolina
Dec 15, 2018|L|49|92||Wofford
Dec 18, 2018|L|74|80||Stetson
Dec 21, 2018|W|86|76||
Dec 29, 2018|L|63|80||Fayette. St.
Dec 31, 2018|L|59|90||Vanderbilt
Jan 5, 2019|L|65|80||Winthrop
Jan 10, 2019|L|62|67||Longwood
Jan 12, 2019|L|61|83||Hampton
Jan 16, 2019|L|53|70||Campbell
Jan 19, 2019|L|63|71||Radford
Jan 21, 2019|L|45|66||Winthrop
Jan 26, 2019|L|61|65||High Point
Jan 30, 2019|W|71|62||SC Upstate
Feb 2, 2019|L|81 |82|OT|Gardner-Webb
Feb 7, 2019|L|44|67||Presbyterian
Feb 9, 2019|L|75|85||Charleston So.
Feb 13, 2019|W|57|53||SC Upstate

Total Points For:|1566
Total Points Against:|1915
Average Points For:|60.2307692308
Average Points Against:|73.6538461538
Average Point Difference:|-13.4230769231

Win Percentage:|15.3846153846
