Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|66|74||UNC-Green.
Nov 10, 2018|L|78|90||Wake Forest
Nov 12, 2018|L|59|82||Maryland
Nov 14, 2018|L|72|92||Hofstra
Nov 19, 2018|L|71|95||Marshall
Nov 21, 2018|W|74|60||Mt St Mary&#039;s
Nov 29, 2018|W|72|60||CCSU
Dec 1, 2018|L|70|75||Presbyterian
Dec 8, 2018|W|92|67||
Dec 15, 2018|W|78|76||Tennessee St.
Dec 19, 2018|L|60|82||Virginia Tech
Dec 21, 2018|L|67|86||Minnesota
Dec 28, 2018|L|57|77||East Carolina
Jan 5, 2019|W|80|77 |OT|SC State
Jan 8, 2019|W|104|56||Mid-Atlantic Christian
Jan 12, 2019|W|93|70||Delaware St.
Jan 14, 2019|W|67|58||Md.-E. Shore
Jan 19, 2019|W|57|53||Morgan St.
Jan 21, 2019|W|80|71||Coppin St.
Jan 26, 2019|W|51|48||NC Central
Feb 2, 2019|L|39|63||Florida A&amp;M
Feb 4, 2019|L|53|69||Bethune-Cook.
Feb 9, 2019|W|82|52||Delaware St.
Feb 11, 2019|W|68|61||Md.-E. Shore
Feb 16, 2019|W|85|81||Howard

Total Points For:|1775
Total Points Against:|1775
Average Points For:|71.0
Average Points Against:|71.0
Average Point Difference:|0.0

Win Percentage:|56.0
