Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|L|51|71||Clemson
Nov 13, 2018|L|51|73||Cincinnati
Nov 15, 2018|L|60|75||Bowling Green
Nov 18, 2018|W|123|57||
Nov 20, 2018|L|63|78||George Mason
Nov 23, 2018|L|63|77||Nicholls St.
Nov 24, 2018|W|83|71||Southern U.
Nov 28, 2018|W|110|51||Christiandom
Dec 1, 2018|W|67|66||McNeese St.
Dec 8, 2018|L|73|82||App. St.
Dec 13, 2018|L|61|77||McNeese St.
Dec 16, 2018|L|65|69||Coastal Carolina
Dec 19, 2018|L|65|74||Saint Louis
Dec 30, 2018|W|91|44||
Jan 5, 2019|W|68|59||Bethune-Cook.
Jan 12, 2019|W|61|48||Md.-E. Shore
Jan 14, 2019|W|71|70||Delaware St.
Jan 19, 2019|L|60|64||Coppin St.
Jan 21, 2019|W|92|64||Morgan St.
Jan 26, 2019|L|48|51||NC A&amp;T
Jan 28, 2019|W|82|78||Savannah St.
Feb 2, 2019|L|64|74||Bethune-Cook.
Feb 4, 2019|L|57|73||Florida A&amp;M
Feb 9, 2019|W|78|53||Md.-E. Shore
Feb 11, 2019|W|87|52||Delaware St.
Feb 16, 2019|L|71 |75|OT|Norfolk St.

Total Points For:|1865
Total Points Against:|1726
Average Points For:|71.7307692308
Average Points Against:|66.3846153846
Average Point Difference:|5.34615384615

Win Percentage:|46.1538461538
