Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|126|56||
Nov 13, 2018|W|88|80||Pepperdine
Nov 21, 2018|W|90|64||Incarnate Word
Nov 24, 2018|L|62|93||Texas Tech
Nov 28, 2018|W|88|72||Denver
Dec 1, 2018|W|85|80||Wyoming
Dec 11, 2018|W|118|52||Johnson and Wales
Dec 15, 2018|L|65|85||San Diego
Dec 17, 2018|L|62|74||N. Mex. St.
Dec 22, 2018|L|67|74||Rider
Dec 23, 2018|L|72|82||SIUE
Dec 29, 2018|W|70|65||Sacramento St.
Dec 31, 2018|W|73|60||Portland St.
Jan 5, 2019|W|83|79 |OT|Idaho
Jan 7, 2019|W|75|63||E. Washington
Jan 12, 2019|L|64|88||Montana
Jan 14, 2019|W|73|70||Montana St.
Jan 19, 2019|L|64|78||Weber St.
Jan 21, 2019|W|77|53||Idaho St.
Jan 24, 2019|W|79|68||So. Utah
Jan 26, 2019|W|63|48||N. Arizona
Feb 4, 2019|L|66|69||Montana St.
Feb 7, 2019|W|80|62||Portland St.
Feb 9, 2019|W|65|59||Sacramento St.
Feb 14, 2019|W|75|47||Idaho
Feb 16, 2019|L|78 |88|OT|E. Washington

Total Points For:|2008
Total Points Against:|1809
Average Points For:|77.2307692308
Average Points Against:|69.5769230769
Average Point Difference:|7.65384615385

Win Percentage:|65.3846153846
