Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|105|55||Mt St Mary&#039;s
Nov 10, 2018|W|95|49||Md.-E. Shore
Nov 13, 2018|W|100|49||UNC-Ash.
Nov 17, 2018|W|82|63||Maine
Nov 20, 2018|W|85|57||St. Peter&#039;s
Nov 24, 2018|W|78|74||Mercer
Nov 27, 2018|L|75|79||Wisconsin
Dec 1, 2018|W|80|65||Vanderbilt
Dec 5, 2018|W|100|67||W. Carolina
Dec 15, 2018|W|89|78||Penn St.
Dec 19, 2018|W|78|71||Auburn
Dec 22, 2018|W|98|71||SC Upstate
Dec 28, 2018|W|97|64||Loyola-Md.
Jan 3, 2019|W|87|82||Miami (Fla.)
Jan 8, 2019|L|82|90||North Carolina
Jan 12, 2019|W|86|80||Pittsburgh
Jan 15, 2019|L|67|71||Wake Forest
Jan 19, 2019|W|77|73||Notre Dame
Jan 24, 2019|L|77|84||Louisville
Jan 26, 2019|W|69|67||Clemson
Jan 29, 2019|L|65 |66|OT|Virginia
Feb 2, 2019|L|24|47||Virginia Tech
Feb 5, 2019|L|96|113||North Carolina
Feb 9, 2019|W|79|76||Pittsburgh
Feb 13, 2019|W|73|58||Syracuse
Feb 16, 2019|L|78|94||Duke

Total Points For:|2122
Total Points Against:|1843
Average Points For:|81.6153846154
Average Points Against:|70.8846153846
Average Point Difference:|10.7307692308

Win Percentage:|69.2307692308
