Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|93 |97|OT|Campbell
Nov 9, 2018|L|59|72||Stanford
Nov 13, 2018|L|61|82||UNC-Green.
Nov 18, 2018|W|113|74||
Nov 23, 2018|W|78|64||Arkansas St.
Nov 24, 2018|L|72|81||Gardner-Webb
Nov 25, 2018|W|82|65||E. Illinois
Nov 27, 2018|W|95|86||East Carolina
Dec 1, 2018|L|85|91||Davidson
Dec 5, 2018|L|69|97||North Carolina
Dec 15, 2018|L|50|93||Furman
Dec 19, 2018|L|71|86||Georgia St.
Dec 21, 2018|L|73|77||Mercer
Dec 29, 2018|L|66|73||Charleston
Jan 3, 2019|W|86|83 |OT|James Madison
Jan 5, 2019|W|67|61||Towson
Jan 10, 2019|L|69|82||Delaware
Jan 12, 2019|W|97|83||Drexel
Jan 17, 2019|L|72|87||Hofstra
Jan 19, 2019|L|71|88||Northeastern
Jan 24, 2019|W|93|88||William &amp; Mary
Jan 26, 2019|L|82|89||Elon
Jan 31, 2019|L|76|77||Towson
Feb 2, 2019|L|95|104||James Madison
Feb 7, 2019|L|57|69||Drexel
Feb 9, 2019|L|66|70||Delaware
Feb 14, 2019|L|77|81||Northeastern
Feb 16, 2019|W|87|79||Hofstra

Total Points For:|2162
Total Points Against:|2279
Average Points For:|77.2142857143
Average Points Against:|81.3928571429
Average Point Difference:|-4.17857142857

Win Percentage:|32.1428571429
