Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|84|67||Ill.-Chicago
Nov 8, 2018|W|89|62||Chicago St.
Nov 14, 2018|L|60|63||Radford
Nov 17, 2018|W|73|64||William &amp; Mary
Nov 20, 2018|W|67|56||Duquesne
Nov 24, 2018|W|95|70||DePaul
Nov 27, 2018|W|76|74||Illinois
Dec 4, 2018|L|80|85||Oklahoma
Dec 8, 2018|L|62|65||UCLA
Dec 15, 2018|W|88|80||Purdue
Dec 18, 2018|W|69|56||Binghamton
Dec 20, 2018|W|100|74||Jacksonville
Dec 29, 2018|W|63|56||Coppin St.
Jan 1, 2019|L|66|81||Virginia Tech
Jan 5, 2019|L|62|72||Syracuse
Jan 12, 2019|W|69|66||Boston College
Jan 15, 2019|L|69|75||North Carolina
Jan 19, 2019|L|73|77||NC State
Jan 22, 2019|L|61|63||Georgia Tech
Jan 26, 2019|L|55|82||Virginia
Jan 28, 2019|L|61|83||Duke
Feb 2, 2019|W|79|73||Boston College
Feb 6, 2019|L|47|62||Miami (Fla.)
Feb 10, 2019|W|69|59||Georgia Tech
Feb 16, 2019|L|54|60||Virginia

Total Points For:|1771
Total Points Against:|1725
Average Points For:|70.84
Average Points Against:|69.0
Average Point Difference:|1.84

Win Percentage:|52.0
