Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|104|48||Northland
Nov 10, 2018|W|63|60||Milwaukee
Nov 14, 2018|L|58|96||Kentucky
Nov 17, 2018|W|112|58||Minn.-Morris
Nov 20, 2018|W|89|56||Concordia (NE)
Nov 24, 2018|L|68|74||Utah Valley
Nov 27, 2018|L|76|81||Montana St.
Dec 1, 2018|L|54|67||Idaho
Dec 5, 2018|L|56|70||UT-Rio Grande Valley
Dec 9, 2018|W|83|72||Milwaukee
Dec 14, 2018|W|83|66||Mayville St.
Dec 18, 2018|L|66|92||Marquette
Dec 22, 2018|L|62|64||Northern Iowa
Dec 29, 2018|L|73|84||PFW
Jan 3, 2019|L|72|83||PFW
Jan 5, 2019|W|80|59||Oral Roberts
Jan 10, 2019|L|91|92||Denver
Jan 12, 2019|W|71|65||Neb.-Omaha
Jan 16, 2019|L|74|78||W. Illinois
Jan 19, 2019|L|65|67||S. Dak. St.
Jan 23, 2019|L|56|70||N. Dakota St.
Feb 1, 2019|W|74|73||South Dakota
Feb 3, 2019|L|72|90||W. Illinois
Feb 6, 2019|L|70|74||W. Illinois
Feb 9, 2019|L|55|80||Neb.-Omaha
Feb 16, 2019|W|85|73||N. Dakota St.

Total Points For:|1912
Total Points Against:|1892
Average Points For:|73.5384615385
Average Points Against:|72.7692307692
Average Point Difference:|0.769230769231

Win Percentage:|38.4615384615
