Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|74|77||Boston U.
Nov 9, 2018|W|81|71||Harvard
Nov 15, 2018|W|68|52||Alabama
Nov 16, 2018|L|60|88||Virginia Tech
Nov 18, 2018|L|59|71||Davidson
Nov 24, 2018|L|69|78||Davidson
Nov 28, 2018|W|96|78||Bucknell
Dec 1, 2018|W|81|67||E. Michigan
Dec 4, 2018|L|49|72||Syracuse
Dec 8, 2018|W|92|83||Oakland
Dec 16, 2018|L|70|75||Vermont
Dec 21, 2018|W|64|59||St. Bona.
Dec 28, 2018|W|93|83||Drexel
Dec 30, 2018|L|80 |82|OT|Delaware
Jan 5, 2019|L|72|75||Hofstra
Jan 10, 2019|W|81|70 |OT|Elon
Jan 12, 2019|W|90|70||William &amp; Mary
Jan 17, 2019|W|69|60||Charleston
Jan 19, 2019|W|88|71||UNC-Wilm.
Jan 24, 2019|L|72|75||Towson
Jan 26, 2019|W|78|68||James Madison
Feb 2, 2019|W|75|61||Hofstra
Feb 7, 2019|W|72|60||William &amp; Mary
Feb 9, 2019|W|72|60 |OT|Elon
Feb 14, 2019|W|81|77||UNC-Wilm.
Feb 16, 2019|L|79 |88|OT|Charleston

Total Points For:|1965
Total Points Against:|1871
Average Points For:|75.5769230769
Average Points Against:|71.9615384615
Average Point Difference:|3.61538461538

Win Percentage:|61.5384615385
