Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|106|37||Miss Valley St.
Nov 11, 2018|W|87|35||SE Louisiana
Nov 14, 2018|W|80|57||Seton Hall
Nov 19, 2018|W|85|62||Missouri St.
Nov 20, 2018|L|52|70||Texas Tech
Nov 24, 2018|W|73|49||W. Illinois
Nov 26, 2018|W|68|66||Clemson
Dec 2, 2018|W|75|60||Illinois
Dec 5, 2018|L|78|85||Minnesota
Dec 8, 2018|W|94|75||Creighton
Dec 16, 2018|W|79|56||Oklahoma St.
Dec 22, 2018|W|86|62||CSFullerton
Dec 29, 2018|W|79|38||SW State
Jan 2, 2019|L|72|74||Maryland
Jan 6, 2019|L|84|93||Iowa
Jan 10, 2019|W|70|64||Penn St.
Jan 14, 2019|W|66|51||Indiana
Jan 17, 2019|L|64|70||Michigan St.
Jan 21, 2019|L|69|76||Rutgers
Jan 26, 2019|L|60|70||Ohio St.
Jan 29, 2019|L|51|62||Wisconsin
Feb 2, 2019|L|64|71||Illinois
Feb 6, 2019|L|45|60||Maryland
Feb 9, 2019|L|62|81||Purdue
Feb 13, 2019|W|62|61||Minnesota
Feb 16, 2019|W|59|50||Northwestern

Total Points For:|1870
Total Points Against:|1635
Average Points For:|71.9230769231
Average Points Against:|62.8846153846
Average Point Difference:|9.03846153846

Win Percentage:|57.6923076923
