Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|76|104||Minnesota
Nov 9, 2018|W|94|58||
Nov 14, 2018|L|66|76||N. Arizona
Nov 16, 2018|L|75|79||Colorado
Nov 20, 2018|W|76|56||Bethune-Cook.
Nov 24, 2018|W|89|65||Montana St.
Nov 26, 2018|L|55|82||Iowa St.
Nov 28, 2018|L|71|89||Arizona St.
Dec 6, 2018|L|71|90||Seattle
Dec 8, 2018|L|61|84||Oregon
Dec 15, 2018|W|89|80||Idaho
Dec 19, 2018|W|85|74||UCSB
Dec 21, 2018|W|83|66||Rice
Dec 28, 2018|W|91|84||Denver
Dec 30, 2018|L|84|87||Oral Roberts
Jan 2, 2019|W|90|77||N. Dakota St.
Jan 10, 2019|W|92|91||North Dakota
Jan 17, 2019|W|80|71||W. Illinois
Jan 20, 2019|W|75|68||South Dakota
Jan 24, 2019|W|85|79 |OT|PFW
Jan 26, 2019|L|73|83||S. Dak. St.
Feb 3, 2019|W|90|72||North Dakota
Feb 7, 2019|W|107|102 |OT|South Dakota
Feb 14, 2019|W|85|84||S. Dak. St.
Feb 16, 2019|W|74|71||PFW

Total Points For:|2017
Total Points Against:|1972
Average Points For:|80.68
Average Points Against:|78.88
Average Point Difference:|1.8

Win Percentage:|64.0
