Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|86|70||BYU
Nov 9, 2018|W|83|61||Pacific
Nov 16, 2018|W|87|59||Little Rock
Nov 19, 2018|W|90|55||Cal Baptist
Nov 22, 2018|W|96|86||Tulsa
Nov 23, 2018|W|110|87||Massachusetts
Nov 27, 2018|W|79|65||Loyola-Chi.
Dec 1, 2018|W|73|61||USC
Dec 8, 2018|W|72|66||Arizona St.
Dec 9, 2018|W|74|66||Grand Canyon
Dec 15, 2018|W|72|68||S. Dak. St.
Dec 22, 2018|W|68|62||Akron
Dec 29, 2018|W|86|71||Utah
Jan 2, 2019|W|72|49||Utah St.
Jan 5, 2019|L|58|85||New Mexico
Jan 9, 2019|W|92|53||San Jose St.
Jan 12, 2019|W|74|64||Fresno St.
Jan 15, 2019|W|72|71||Boise St.
Jan 19, 2019|W|67|52||Air Force
Jan 23, 2019|W|100|60||Colorado St.
Jan 29, 2019|W|87|70||UNLV
Feb 2, 2019|W|93|73||Boise St.
Feb 6, 2019|W|98|82||Colorado St.
Feb 9, 2019|W|91|62||New Mexico
Feb 16, 2019|W|82|49||Wyoming

Total Points For:|2062
Total Points Against:|1647
Average Points For:|82.48
Average Points Against:|65.88
Average Point Difference:|16.6

Win Percentage:|96.0
