Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|108|54||Rivier
Nov 9, 2018|L|75|104||Massachusetts
Nov 12, 2018|W|100|61||Mount St. Vincent
Nov 16, 2018|L|44|68||American
Nov 20, 2018|L|63|69||Quinnipiac
Nov 24, 2018|L|66|91||Connecticut
Nov 28, 2018|L|53|82||Boston U.
Dec 1, 2018|L|65|75||Bryant
Dec 4, 2018|L|57|77||Seton Hall
Dec 9, 2018|L|67|71||Niagara
Dec 19, 2018|L|49|58||Marist
Dec 22, 2018|L|57|63||Fairfield
Dec 30, 2018|L|68|76||Dartmouth
Jan 5, 2019|L|58|69||Binghamton
Jan 9, 2019|W|68|64||UMass Lowell
Jan 12, 2019|L|44|62||Stony Brook
Jan 16, 2019|L|59|73||Vermont
Jan 23, 2019|L|39|74||Hartford
Jan 26, 2019|L|51|59||UMBC
Jan 30, 2019|L|42|62||Albany
Feb 3, 2019|L|53|62||Maine
Feb 6, 2019|L|62|72||UMass Lowell
Feb 9, 2019|L|61|68||Binghamton
Feb 13, 2019|L|44|73||Vermont
Feb 16, 2019|L|64|66||Stony Brook

Total Points For:|1517
Total Points Against:|1753
Average Points For:|60.68
Average Points Against:|70.12
Average Point Difference:|-9.44

Win Percentage:|12.0
