Date|Win?|Points For|Points Against|OT?|Opponent
Nov 12, 2018|W|80|72||St. Bona.
Nov 14, 2018|L|62|75||Loyola-Chi.
Nov 16, 2018|W|72|67||Wyoming
Nov 23, 2018|L|68|74||Grambling
Nov 24, 2018|L|63|75||St. Fran.-NY
Nov 30, 2018|L|75|79||St. Fran.-Pa.
Dec 3, 2018|W|71|70||Pittsburgh
Dec 9, 2018|W|71|67||New Hamp.
Dec 16, 2018|W|77|74||Cornell
Dec 19, 2018|L|60|82||Clev. St.
Dec 22, 2018|W|78|66||Army
Dec 29, 2018|W|83|75||Norfolk St.
Dec 31, 2018|L|74|79||Albany
Jan 5, 2019|L|80|90||Manhattan
Jan 7, 2019|L|59|77||Fairfield
Jan 11, 2019|W|95|90||Iona
Jan 13, 2019|L|84|104||Rider
Jan 17, 2019|L|57|66||Siena
Jan 19, 2019|W|75|72||Quinnipiac
Jan 22, 2019|L|72|74||St. Peter&#039;s
Jan 26, 2019|W|75|48||Monmouth
Jan 30, 2019|W|78|70||Canisius
Feb 3, 2019|L|73|84||Quinnipiac
Feb 8, 2019|L|58|79||Marist
Feb 10, 2019|L|76|79||Iona
Feb 15, 2019|L|60|64||Manhattan
Feb 17, 2019|W|78|73||Fairfield

Total Points For:|1954
Total Points Against:|2025
Average Points For:|72.3703703704
Average Points Against:|75.0
Average Point Difference:|-2.62962962963

Win Percentage:|44.4444444444
