Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|86|58||
Nov 8, 2018|L|72|85||Louisville
Nov 11, 2018|L|72|89||Washington St.
Nov 13, 2018|W|83|80||Idaho
Nov 16, 2018|L|54|81||Baylor
Nov 20, 2018|L|55|75||Ole Miss
Nov 23, 2018|W|77|63||NC Central
Nov 24, 2018|W|62|61 |OT|W. Michigan
Nov 28, 2018|W|85|65||
Dec 15, 2018|L|63|75||Boston U.
Dec 18, 2018|L|68|95||UL-Monroe
Dec 22, 2018|W|84|67||
Dec 29, 2018|W|88|63||
Jan 2, 2019|W|78|72||Northwestern St.
Jan 5, 2019|L|58|65||Incarnate Word
Jan 9, 2019|W|78|73||SF Austin
Jan 12, 2019|W|77|76||Houston Bap.
Jan 16, 2019|L|75|86||McNeese St.
Jan 19, 2019|L|68|74||Cent. Arkansas
Jan 23, 2019|L|73|75||Texas A&amp;M-CC
Jan 30, 2019|L|69|90||Lamar
Feb 2, 2019|L|70|91||SE Louisiana
Feb 9, 2019|W|64|63||New Orleans
Feb 13, 2019|L|48|64||Abil Christian
Feb 16, 2019|L|82|88||Houston Bap.

Total Points For:|1789
Total Points Against:|1874
Average Points For:|71.56
Average Points Against:|74.96
Average Point Difference:|-3.4

Win Percentage:|44.0
