Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|97|51||Bemidji St.
Nov 10, 2018|L|65|74||UT-Arlington
Nov 16, 2018|L|71|78||Penn
Nov 17, 2018|W|90|85||E. Kentucky
Nov 19, 2018|W|54|53||Old Dominion
Nov 23, 2018|L|65|72||Old Dominion
Nov 28, 2018|L|52|71||Utah St.
Dec 1, 2018|L|50|82||S. Dak. St.
Dec 8, 2018|W|75|67||Dubuque
Dec 15, 2018|L|54|77||Iowa
Dec 19, 2018|L|62|73||Grand Canyon
Dec 22, 2018|W|64|62||North Dakota
Dec 29, 2018|L|63|73||Stony Brook
Jan 2, 2019|W|65|47||Bradley
Jan 5, 2019|L|51|58||S. Illinois
Jan 8, 2019|L|69|70||Illinois St.
Jan 13, 2019|W|57|54||Drake
Jan 16, 2019|W|69|64||Indiana St.
Jan 19, 2019|L|66|75||Valparaiso
Jan 23, 2019|L|62|70||S. Illinois
Jan 26, 2019|W|81|74||Evansville
Jan 30, 2019|L|60|61||Loyola-Chi.
Feb 2, 2019|W|64|59||Missouri St.
Feb 6, 2019|L|71|79||Bradley
Feb 9, 2019|L|77|83||Drake
Feb 13, 2019|W|77|64||Illinois St.
Feb 17, 2019|W|73|58||Evansville

Total Points For:|1804
Total Points Against:|1834
Average Points For:|66.8148148148
Average Points Against:|67.9259259259
Average Point Difference:|-1.11111111111

Win Percentage:|44.4444444444
