Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|81|78 |OT|Colgate
Nov 9, 2018|W|74|57||Binghamton
Nov 11, 2018|W|63|60||Brown
Nov 14, 2018|W|73|40||
Nov 17, 2018|L|73|86||Cornell
Nov 20, 2018|W|71|60||Wagner
Nov 24, 2018|W|77|70||LIU-Brooklyn
Nov 28, 2018|W|70|67||Drexel
Dec 1, 2018|L|71|94||UMass Lowell
Dec 4, 2018|W|77|72||Army
Dec 8, 2018|W|82|60||St. Fran.-NY
Dec 11, 2018|W|53|50||Fordham
Dec 15, 2018|W|90|80||F. Dickinson
Dec 29, 2018|L|59|80||Houston
Dec 31, 2018|W|78|67||Duquesne
Jan 5, 2019|W|72|52||Kennesaw St.
Jan 12, 2019|L|55|61||N. Alabama
Jan 16, 2019|L|52|70||Lipscomb
Jan 19, 2019|W|77|74||Jacksonville
Jan 21, 2019|W|76|72||North Florida
Jan 24, 2019|W|82|59||Stetson
Jan 27, 2019|W|76|70 |OT|N. Alabama
Jan 30, 2019|W|66|54||FGCU
Feb 2, 2019|L|57|77||Liberty
Feb 9, 2019|L|62|63||Kennesaw St.
Feb 13, 2019|L|55|57||FGCU
Feb 16, 2019|L|63|64||North Florida

Total Points For:|1885
Total Points Against:|1794
Average Points For:|69.8148148148
Average Points Against:|66.4444444444
Average Point Difference:|3.37037037037

Win Percentage:|66.6666666667
