Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|102|38||
Nov 9, 2018|W|88|85 |OT|N. Illinois
Nov 11, 2018|W|99|59||Wabash
Nov 16, 2018|W|77|50||UNC-Ash.
Nov 17, 2018|W|59|53||Manhattan
Nov 18, 2018|W|89|83||Coastal Carolina
Nov 24, 2018|L|53|66||UCF
Nov 27, 2018|W|93|71||Morehead St.
Nov 30, 2018|W|78|60||UMBC
Dec 4, 2018|L|65|78||Cincinnati
Dec 8, 2018|L|74|76||E. Kentucky
Dec 16, 2018|W|72|66||Miami (Ohio)
Dec 20, 2018|W|65|62||N. Illinois
Dec 28, 2018|W|92|77||IUPUI
Dec 30, 2018|W|73|58||Ill.-Chicago
Jan 3, 2019|L|74|76||Oakland
Jan 5, 2019|W|95|73||Detroit
Jan 11, 2019|W|68|64||Wright St.
Jan 17, 2019|W|91|76||Clev. St.
Jan 19, 2019|W|82|74||Youngstown St.
Jan 24, 2019|W|87|65||Green Bay
Jan 26, 2019|W|73|60||Milwaukee
Feb 1, 2019|L|77|83||IUPUI
Feb 3, 2019|L|67|69||Ill.-Chicago
Feb 7, 2019|W|97|65||Detroit
Feb 9, 2019|W|79|64||Oakland
Feb 15, 2019|L|77|81||Wright St.

Total Points For:|2146
Total Points Against:|1832
Average Points For:|79.4814814815
Average Points Against:|67.8518518519
Average Point Difference:|11.6296296296

Win Percentage:|74.0740740741
