Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|87|84||CSNorthridge 
Nov 13, 2018|W|90|83||Iona
Nov 17, 2018|L|94|98||N. Mex. St.
Nov 24, 2018|W|84|78||UTEP
Dec 1, 2018|W|85|75||Bradley
Dec 4, 2018|L|65|100||N. Mex. St.
Dec 7, 2018|L|60|85||Saint Mary&#039;s
Dec 11, 2018|L|75|78||Colorado
Dec 16, 2018|W|82|70||Cent. Arkansas
Dec 18, 2018|L|65|74||North Texas
Dec 22, 2018|L|65|75||Penn
Dec 30, 2018|W|103|47||
Jan 2, 2019|W|65|58||Air Force
Jan 5, 2019|W|85|58||Nevada
Jan 8, 2019|L|69|80||UNLV
Jan 12, 2019|L|76|91||Colorado St.
Jan 15, 2019|L|77|97||San Diego St
Jan 19, 2019|W|83|53||Wyoming
Jan 22, 2019|L|58|74||UNLV
Jan 26, 2019|L|66|68||Utah St.
Feb 2, 2019|L|70|82||Fresno St.
Feb 5, 2019|W|83|70||San Diego St
Feb 9, 2019|L|62|91||Nevada
Feb 13, 2019|W|92|60||San Jose St.
Feb 16, 2019|L|73|81||Fresno St.

Total Points For:|1914
Total Points Against:|1910
Average Points For:|76.56
Average Points Against:|76.4
Average Point Difference:|0.16

Win Percentage:|44.0
