Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|73|56||N. Dakota St.
Nov 9, 2018|W|96|69||UTEP
Nov 14, 2018|L|58|73||Saint Mary&#039;s
Nov 17, 2018|W|98|94||New Mexico
Nov 21, 2018|W|92|65||E. New Mexico
Nov 28, 2018|W|62|58||UTEP
Dec 1, 2018|W|69|63||Washington St.
Dec 4, 2018|W|100|65||New Mexico
Dec 8, 2018|L|60|63||Kansas
Dec 17, 2018|W|74|62||N. Colorado
Dec 19, 2018|W|92|57||CSNorthridge 
Dec 22, 2018|L|63|66||Drake
Dec 23, 2018|W|75|72||Washington St.
Dec 30, 2018|W|88|68||Colorado St.
Jan 3, 2019|L|76|82||Cal Baptist
Jan 10, 2019|W|77|75||Grand Canyon
Jan 12, 2019|W|73|62||Cal-Baker.
Jan 17, 2019|W|87|60||Seattle
Jan 19, 2019|W|83|78||Utah Valley
Jan 26, 2019|W|63|61||UT-Rio Grande Valley
Jan 31, 2019|W|70|54||UMKC
Feb 2, 2019|W|83|39||Chicago St.
Feb 7, 2019|W|71|70 |OT|Cal-Baker.
Feb 9, 2019|W|67|64||Grand Canyon
Feb 14, 2019|W|84|77||Utah Valley
Feb 16, 2019|W|59|53||Seattle

Total Points For:|1993
Total Points Against:|1706
Average Points For:|76.6538461538
Average Points Against:|65.6153846154
Average Point Difference:|11.0384615385

Win Percentage:|84.6153846154
