Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|44|63||Michigan
Nov 8, 2018|W|108|50||Mid-Atlantic Christian
Nov 10, 2018|W|74|46||Clarion
Nov 13, 2018|L|64|81||South Carolina
Nov 16, 2018|L|58|61||Siena
Nov 17, 2018|L|65|72||Stony Brook
Nov 20, 2018|W|97|57||Regent
Nov 27, 2018|L|73|79||Stony Brook
Nov 29, 2018|W|94|89 |OT|Hampton
Dec 1, 2018|L|67|78||Kent St.
Dec 12, 2018|L|71|81||Rider
Dec 16, 2018|L|49|80||Loyola-Chi.
Dec 21, 2018|W|75|62||UTEP
Dec 22, 2018|L|61|89||ETSU
Dec 29, 2018|L|75|83||Niagara
Jan 5, 2019|W|77|63||Delaware St.
Jan 7, 2019|W|72|62||Florida A&amp;M
Jan 12, 2019|W|80|66||Coppin St.
Jan 14, 2019|W|75|68||Bethune-Cook.
Jan 19, 2019|W|82|76||Savannah St.
Jan 21, 2019|W|74|69||SC State
Jan 26, 2019|W|88|60||Md.-E. Shore
Feb 2, 2019|W|80|78||Howard
Feb 9, 2019|L|76|84||Bethune-Cook.
Feb 11, 2019|W|66|54||Florida A&amp;M
Feb 16, 2019|W|75|71 |OT|NC Central

Total Points For:|1920
Total Points Against:|1822
Average Points For:|73.8461538462
Average Points Against:|70.0769230769
Average Point Difference:|3.76923076923

Win Percentage:|57.6923076923
