Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|95|66||
Nov 8, 2018|L|52|82||Northwestern
Nov 12, 2018|W|87|59||
Nov 14, 2018|L|68|75||UAB
Nov 24, 2018|W|97|53||Governors St.
Nov 28, 2018|L|73 |77|OT|Louisiana
Dec 5, 2018|W|71|60||South Alabama
Dec 13, 2018|L|60|70||Tulsa
Dec 18, 2018|W|90|62||
Dec 20, 2018|L|57|99||Pittsburgh
Dec 29, 2018|L|44|84||Baylor
Jan 2, 2019|L|58|68||Abil Christian
Jan 5, 2019|W|81|76 |OT|Houston Bap.
Jan 9, 2019|W|78|71 |OT|Lamar
Jan 12, 2019|W|79|66||McNeese St.
Jan 16, 2019|W|68|61||SF Austin
Jan 19, 2019|L|61|76||Texas A&amp;M-CC
Jan 23, 2019|L|71|76||Cent. Arkansas
Jan 26, 2019|W|61|52||Incarnate Word
Jan 30, 2019|W|72|64||Northwestern St.
Feb 2, 2019|W|89|72||Incarnate Word
Feb 6, 2019|W|81|73 |OT|Northwestern St.
Feb 9, 2019|L|63|64||Nicholls St.
Feb 16, 2019|W|68|58||Texas A&amp;M-CC

Total Points For:|1724
Total Points Against:|1664
Average Points For:|71.8333333333
Average Points Against:|69.3333333333
Average Point Difference:|2.5

Win Percentage:|58.3333333333
