Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|100|77||Morgan St.
Nov 10, 2018|W|86|53||Quinnipiac
Nov 14, 2018|L|46|73||Michigan
Nov 17, 2018|L|68 |76|OT|Furman
Nov 22, 2018|W|83|56||Canisius
Nov 23, 2018|W|77|58||Oklahoma St.
Nov 25, 2018|W|66|60||Florida St.
Dec 1, 2018|W|85|78||La Salle
Dec 5, 2018|W|69|59||Temple
Dec 8, 2018|W|70|58||Saint Joseph&#039;s
Dec 11, 2018|L|75|78||Penn
Dec 15, 2018|L|71|74||Kansas
Dec 22, 2018|W|81|58||Connecticut
Jan 2, 2019|W|73|68||DePaul
Jan 5, 2019|W|65|59||Providence
Jan 8, 2019|W|76|71||St. John&#039;s
Jan 13, 2019|W|90|78||Creighton
Jan 18, 2019|W|85|75||Xavier
Jan 22, 2019|W|80|72||Butler
Jan 27, 2019|W|80|52||Seton Hall
Jan 30, 2019|W|86|74||DePaul
Feb 3, 2019|W|77|65||Georgetown
Feb 6, 2019|W|66|59 |OT|Creighton
Feb 9, 2019|L|65|66||Marquette
Feb 13, 2019|W|85|67||Providence
Feb 17, 2019|L|65|71||St. John&#039;s

Total Points For:|1970
Total Points Against:|1735
Average Points For:|75.7692307692
Average Points Against:|66.7307692308
Average Point Difference:|9.03846153846

Win Percentage:|76.9230769231
