Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|89|55||Angelo St.
Nov 9, 2018|W|93|48||Humboldt St.L
Nov 10, 2018|W|78|73||Portland
Nov 11, 2018|W|68|51||Hawaii
Nov 14, 2018|W|102|53||A&amp;M-Comm.
Nov 17, 2018|W|68|34||Md.-E. Shore
Nov 20, 2018|W|74|63 |OT|Maine
Nov 24, 2018|W|75|66||St. Peter&#039;s
Nov 27, 2018|L|57|73||Oklahoma
Dec 5, 2018|W|80|69||Indiana St.
Dec 8, 2018|W|63|61||UT-Arlington
Dec 18, 2018|W|74|65||New Mexico
Dec 20, 2018|W|77|66||Ark.-Pine Bluff
Dec 29, 2018|W|103|87||Rice
Jan 3, 2019|W|63|59||Louisiana Tech
Jan 5, 2019|W|65|62||So. Miss
Jan 10, 2019|W|58|51||UTEP
Jan 12, 2019|L|74|76||UT-San Antonio
Jan 19, 2019|W|76|75||Rice
Jan 24, 2019|L|49|52||UAB
Jan 26, 2019|W|70|53||Middle Tenn.
Jan 31, 2019|L|61|72||Old Dominion
Feb 2, 2019|W|73|66||Charlotte
Feb 7, 2019|W|78|51||Marshall
Feb 9, 2019|L|59|62||W. Kentucky
Feb 14, 2019|L|47|57||FAU
Feb 16, 2019|L|59|69||FIU

Total Points For:|1933
Total Points Against:|1669
Average Points For:|71.5925925926
Average Points Against:|61.8148148148
Average Point Difference:|9.77777777778

Win Percentage:|74.0740740741
