Date|Win?|Points For|Points Against|OT?|Opponent
Nov 8, 2018|W|82|52||New Orleans
Nov 12, 2018|W|63|51||American
Nov 16, 2018|W|82|54||Binghamton
Nov 22, 2018|L|59|78||Fresno St.
Nov 23, 2018|W|91|74||La Salle
Nov 25, 2018|W|79|57||Utah
Nov 28, 2018|W|67|61||Georgia Tech
Dec 1, 2018|L|66|68||Indiana
Dec 4, 2018|L|60|62||Michigan
Dec 8, 2018|W|75|68||DePaul
Dec 17, 2018|W|88|46||Chicago St.
Dec 21, 2018|L|69 |76|OT|Oklahoma
Dec 30, 2018|W|75|54||Columbia
Jan 2, 2019|L|55|81||Michigan St.
Jan 6, 2019|W|68|66||Illinois
Jan 9, 2019|L|63|73||Iowa
Jan 13, 2019|L|60|80||Michigan
Jan 18, 2019|W|65|57||Rutgers
Jan 22, 2019|W|73|66||Indiana
Jan 26, 2019|L|46|62||Wisconsin
Jan 29, 2019|L|52|70||Maryland
Feb 4, 2019|L|52|59||Penn St.
Feb 10, 2019|L|79|80||Iowa
Feb 13, 2019|L|56|59||Rutgers
Feb 16, 2019|L|50|59||Nebraska

Total Points For:|1675
Total Points Against:|1613
Average Points For:|67.0
Average Points Against:|64.52
Average Point Difference:|2.48

Win Percentage:|48.0
