Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|102|62||Centenary
Nov 8, 2018|L|58|69||SMU
Nov 13, 2018|L|57|82||BYU
Nov 17, 2018|L|74|102||Rice
Nov 19, 2018|L|55|82||Houston
Nov 23, 2018|W|70|66 |OT|Alabama A&amp;M
Nov 27, 2018|L|52|80||UL-Monroe
Dec 1, 2018|L|47|77||UTEP
Dec 3, 2018|L|59|80||Texas A&amp;M
Dec 12, 2018|L|44|79||Texas Tech
Dec 15, 2018|W|69|67||Southern U.
Dec 18, 2018|W|84|64||
Dec 30, 2018|W|86|65||
Jan 2, 2019|L|72|78||Nicholls St.
Jan 5, 2019|W|66|61||McNeese St.
Jan 9, 2019|L|61|62||Texas A&amp;M-CC
Jan 12, 2019|W|61|59||SF Austin
Jan 19, 2019|L|69|78||Abil Christian
Jan 23, 2019|L|64|78||Sam Houston
Jan 26, 2019|L|53|69||SE Louisiana
Jan 30, 2019|L|64|72||New Orleans
Feb 2, 2019|W|80|75||Cent. Arkansas
Feb 6, 2019|L|73 |81|OT|New Orleans
Feb 9, 2019|W|74|72||McNeese St.
Feb 13, 2019|L|70|75||Lamar
Feb 16, 2019|W|87|72||SF Austin

Total Points For:|1751
Total Points Against:|1907
Average Points For:|67.3461538462
Average Points Against:|73.3461538462
Average Point Difference:|-6.0

Win Percentage:|38.4615384615
