Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|67|44||Navy
Nov 9, 2018|L|64|79||Saint Joseph&#039;s
Nov 16, 2018|L|56|61||Oregon St.
Nov 17, 2018|W|65|47||Kennesaw St.
Nov 19, 2018|L|53|54||Northern Iowa
Nov 23, 2018|W|72|65||Northern Iowa
Nov 28, 2018|W|62|52||VCU
Dec 1, 2018|W|67|42||James Madison
Dec 5, 2018|W|71|53||William &amp; Mary
Dec 9, 2018|W|79|69||Fairfield
Dec 15, 2018|W|68|62||Syracuse
Dec 19, 2018|W|63|54||Richmond
Dec 22, 2018|W|76|53||Morgan St.
Jan 3, 2019|L|67|70||Marshall
Jan 5, 2019|W|69|66||W. Kentucky
Jan 10, 2019|L|73|80||FAU
Jan 12, 2019|W|75|74||FIU
Jan 17, 2019|W|64|63||Louisiana Tech
Jan 19, 2019|W|76|62||So. Miss
Jan 21, 2019|W|76|70||Charlotte
Jan 24, 2019|W|50|48||UTEP
Jan 26, 2019|L|73|74||UT-San Antonio
Jan 31, 2019|W|72|61||North Texas
Feb 2, 2019|W|80|76||Rice
Feb 7, 2019|W|70|59||UAB
Feb 9, 2019|W|55|50||Middle Tenn.
Feb 16, 2019|W|73|60||Charlotte

Total Points For:|1836
Total Points Against:|1648
Average Points For:|68.0
Average Points Against:|61.037037037
Average Point Difference:|6.96296296296

Win Percentage:|77.7777777778
