Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|97|61||
Nov 12, 2018|W|81|73||Campbell
Nov 16, 2018|L|46|73||South Florida
Nov 18, 2018|L|56|65||LMU
Nov 24, 2018|W|85|82 |OT|Austin Peay
Nov 27, 2018|W|89|65||Iona
Dec 1, 2018|W|101|84||Marshall
Dec 5, 2018|L|61|82||Xavier
Dec 8, 2018|W|78|69||Radford
Dec 15, 2018|W|63|61||Detroit
Dec 20, 2018|L|67|95||Purdue
Dec 30, 2018|W|68|66||FIU
Jan 5, 2019|L|66 |72|OT|N. Illinois
Jan 8, 2019|L|63|82||Bowling Green
Jan 12, 2019|W|70|52||Ball St.
Jan 15, 2019|L|52|66||Kent St.
Jan 18, 2019|L|52|75||Toledo
Jan 22, 2019|W|81|76||W. Michigan
Jan 26, 2019|W|78|74||Ball St.
Jan 29, 2019|L|60|71||N. Illinois
Feb 2, 2019|L|53|65||Akron
Feb 9, 2019|L|59|79||Miami (Ohio)
Feb 12, 2019|L|57|66||E. Michigan
Feb 16, 2019|L|80|87||C. Michigan

Total Points For:|1663
Total Points Against:|1741
Average Points For:|69.2916666667
Average Points Against:|72.5416666667
Average Point Difference:|-3.25

Win Percentage:|45.8333333333
