Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|64|56||Cincinnati
Nov 11, 2018|W|107|61||PFW
Nov 15, 2018|W|69|60||Creighton
Nov 18, 2018|W|89|61||SC State
Nov 20, 2018|W|68|50||Samford
Nov 23, 2018|W|89|62||Clev. St.
Nov 28, 2018|L|62|72||Syracuse
Dec 2, 2018|W|79|59||Minnesota
Dec 5, 2018|W|77|67||Illinois
Dec 15, 2018|W|73|71||Bucknell
Dec 18, 2018|W|75|56||Youngstown St.
Dec 22, 2018|W|80|66||UCLA
Dec 29, 2018|W|82|64||High Point
Jan 5, 2019|L|77|86||Michigan St.
Jan 9, 2019|L|61|64||Rutgers
Jan 12, 2019|L|62|72||Iowa
Jan 18, 2019|L|61|75||Maryland
Jan 23, 2019|L|67|79||Purdue
Jan 26, 2019|W|70|60||Nebraska
Jan 29, 2019|L|49|65||Michigan
Feb 2, 2019|W|76|62||Rutgers
Feb 7, 2019|W|74|70||Penn St.
Feb 10, 2019|W|55|52||Indiana
Feb 14, 2019|L|56|63||Illinois
Feb 17, 2019|L|44|62||Michigan St.

Total Points For:|1766
Total Points Against:|1615
Average Points For:|70.64
Average Points Against:|64.6
Average Point Difference:|6.04

Win Percentage:|64.0
