Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|91|76||UT-Rio Grande Valley
Nov 12, 2018|W|87|67||UT-San Antonio
Nov 18, 2018|W|75|64||Wofford
Nov 21, 2018|W|65|60||Florida
Nov 22, 2018|L|58|78||Wisconsin
Nov 23, 2018|W|65|54||Dayton
Nov 27, 2018|W|73|57||North Texas
Dec 4, 2018|W|85|80||Notre Dame
Dec 8, 2018|W|80|48||Wichita St.
Dec 15, 2018|W|81|70||USC
Dec 18, 2018|W|83|70||Creighton
Dec 21, 2018|W|76|69 |OT|Northwestern
Jan 2, 2019|L|63|70||Kansas
Jan 5, 2019|W|74|64||Oklahoma St.
Jan 8, 2019|L|59|66||Texas Tech
Jan 12, 2019|W|76|74||TCU
Jan 16, 2019|L|61|74||Kansas St.
Jan 19, 2019|L|72|75||Texas
Jan 23, 2019|W|70|61||Oklahoma St.
Jan 26, 2019|W|86|55||Vanderbilt
Jan 28, 2019|L|47|77||Baylor
Feb 2, 2019|L|71|79||West Virginia
Feb 4, 2019|L|74|75||Iowa St.
Feb 9, 2019|L|54|66||Texas Tech
Feb 11, 2019|L|53|59||Baylor
Feb 16, 2019|W|71|62||TCU

Total Points For:|1850
Total Points Against:|1750
Average Points For:|71.1538461538
Average Points Against:|67.3076923077
Average Point Difference:|3.84615384615

Win Percentage:|61.5384615385
