Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|50|84||Missouri St.
Nov 9, 2018|W|79|62||
Nov 11, 2018|L|62|79||TCU
Nov 13, 2018|L|69|70||Cal Baptist
Nov 15, 2018|L|65|85||BYU
Nov 19, 2018|W|109|72||
Nov 23, 2018|L|66|87||N. Illinois
Nov 24, 2018|L|76|87||Oakland
Nov 25, 2018|W|78|69 |OT|James Madison
Dec 2, 2018|L|67|79||SMU
Dec 5, 2018|L|76|96||FGCU
Dec 7, 2018|L|64|80||Missouri
Dec 15, 2018|W|59|52||Richmond
Dec 19, 2018|L|63|84||Wichita St.
Dec 22, 2018|L|59|69||Tulsa
Dec 30, 2018|W|87|84||Neb.-Omaha
Jan 3, 2019|W|83|72||North Dakota
Jan 5, 2019|W|82|63||W. Illinois
Jan 10, 2019|L|69|94||PFW
Jan 12, 2019|L|65|84||S. Dak. St.
Jan 17, 2019|W|77|74||South Dakota
Jan 20, 2019|L|58|74||Denver
Jan 26, 2019|L|57|67||N. Dakota St.
Jan 31, 2019|L|80|86||S. Dak. St.
Feb 2, 2019|L|81|82||PFW
Feb 7, 2019|W|78|65||Denver
Feb 10, 2019|W|86|72||South Dakota
Feb 14, 2019|L|73|85||N. Dakota St.
Feb 16, 2019|L|73|85||North Dakota

Total Points For:|2091
Total Points Against:|2242
Average Points For:|72.1034482759
Average Points Against:|77.3103448276
Average Point Difference:|-5.20689655172

Win Percentage:|34.4827586207
