Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|84|57||Portland St.
Nov 9, 2018|W|81|47||E. Washington
Nov 15, 2018|L|69|77||Iowa
Nov 16, 2018|W|80|65||Syracuse
Nov 20, 2018|W|83|72||Green Bay
Nov 26, 2018|L|84|89||Texas So.
Dec 1, 2018|L|61|65||Houston
Dec 8, 2018|W|84|61||Neb.-Omaha
Dec 12, 2018|W|65|55||San Diego
Dec 15, 2018|W|66|54||Boise St.
Dec 18, 2018|W|71|64||Florida A&amp;M
Dec 21, 2018|L|47|57||Baylor
Dec 29, 2018|W|62|50||Boise St.
Jan 5, 2019|L|72|77||Oregon St.
Jan 10, 2019|L|84 |87|OT|UCLA
Jan 13, 2019|W|81|60||USC
Jan 17, 2019|W|59|54||Arizona
Jan 19, 2019|L|64|78||Arizona St.
Jan 24, 2019|L|56|61||Washington
Jan 27, 2019|W|78|58||Washington St.
Jan 31, 2019|W|78|72||Utah
Feb 2, 2019|L|51|73||Colorado
Feb 6, 2019|W|73|62||California
Feb 10, 2019|W|69|46||Stanford
Feb 16, 2019|L|57|72||Oregon St.

Total Points For:|1759
Total Points Against:|1613
Average Points For:|70.36
Average Points Against:|64.52
Average Point Difference:|5.84

Win Percentage:|60.0
