Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|72|59||UC Riverside
Nov 10, 2018|W|83|64||Wyoming
Nov 16, 2018|W|61|56||Old Dominion
Nov 18, 2018|L|63|69||Missouri
Nov 19, 2018|W|74|58||Penn
Nov 25, 2018|W|75|72||LBSU
Dec 1, 2018|W|101|77||Missouri St.
Dec 9, 2018|L|61|65||Saint Louis
Dec 15, 2018|L|64|67||Texas A&amp;M
Dec 17, 2018|W|82|67||Pepperdine
Dec 21, 2018|L|63|66||Kent St.
Dec 29, 2018|W|80|59||CCSU
Jan 5, 2019|W|77|72||Oregon
Jan 10, 2019|W|79|74 |OT|USC
Jan 13, 2019|W|79|66||UCLA
Jan 17, 2019|L|67|70||Arizona St.
Jan 19, 2019|L|71|82||Arizona
Jan 24, 2019|W|90|77||Washington St.
Jan 26, 2019|L|69|79||Washington
Jan 31, 2019|W|76|74||Colorado
Feb 2, 2019|W|81|72||Utah
Feb 7, 2019|L|60|83||Stanford
Feb 9, 2019|W|79|71||California
Feb 16, 2019|W|72|57||Oregon

Total Points For:|1779
Total Points Against:|1656
Average Points For:|74.125
Average Points Against:|69.0
Average Point Difference:|5.125

Win Percentage:|66.6666666667
