Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|72|71||George Mason
Nov 9, 2018|W|92|76||Rice
Nov 13, 2018|W|91|61||Lafayette
Nov 16, 2018|W|78|71||Northern Iowa
Nov 18, 2018|L|48|64||Kansas St.
Nov 19, 2018|L|58|74||Oregon St.
Nov 24, 2018|W|112|63||Stockton
Nov 27, 2018|W|76|48||Delaware St.
Dec 4, 2018|W|89|75||Miami (Fla.)
Dec 8, 2018|W|83|65||La Salle
Dec 11, 2018|W|78|75||Villanova
Dec 22, 2018|W|75|65||New Mexico
Dec 29, 2018|L|45|77||Toledo
Dec 31, 2018|L|74 |76|OT|Monmouth
Jan 5, 2019|L|65 |68|OT|Princeton
Jan 12, 2019|L|53|62||Princeton
Jan 19, 2019|W|77|70||Temple
Jan 26, 2019|W|78|70||Saint Joseph&#039;s
Feb 1, 2019|L|71|80||Cornell
Feb 2, 2019|W|72|70||Columbia
Feb 8, 2019|W|92|82||Brown
Feb 9, 2019|L|65|78||Yale
Feb 15, 2019|W|82|79 |OT|Dartmouth
Feb 16, 2019|L|68 |75|OT|Harvard

Total Points For:|1794
Total Points Against:|1695
Average Points For:|74.75
Average Points Against:|70.625
Average Point Difference:|4.125

Win Percentage:|62.5
