Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|100|66||CS-Dominguez
Nov 13, 2018|L|80|88||CSNorthridge 
Nov 16, 2018|W|74|65||N. Colorado
Nov 17, 2018|L|78|88||Towson
Nov 18, 2018|W|86|80||Ga. Southern
Nov 26, 2018|W|97|82||Miami (Ohio)
Dec 1, 2018|W|77|62||Idaho St.
Dec 3, 2018|L|83|90||Abil Christian
Dec 6, 2018|L|71|75||CSNorthridge 
Dec 8, 2018|W|69|66||UC Riverside
Dec 15, 2018|L|69 |78|OT|Jackson St.
Dec 17, 2018|L|67|82||So. Utah
Dec 20, 2018|L|66|67||Oregon St.
Dec 31, 2018|W|100|64||LBSU
Jan 3, 2019|W|77|62||Alabama A&amp;M
Jan 5, 2019|L|69|72||LMU
Jan 10, 2019|L|64|67||San Fran.
Jan 12, 2019|W|76|71||Santa Clara
Jan 17, 2019|L|76|87||San Diego
Jan 19, 2019|L|70|74||BYU
Jan 26, 2019|W|84|77 |OT|LMU
Jan 31, 2019|W|83|58||Saint Mary&#039;s
Feb 2, 2019|L|59|66||Portland
Feb 7, 2019|L|71|79||Pacific
Feb 9, 2019|W|70|67||Santa Clara
Feb 14, 2019|L|77|89||San Diego
Feb 16, 2019|L|65|72||San Fran.

Total Points For:|2058
Total Points Against:|1994
Average Points For:|76.2222222222
Average Points Against:|73.8518518519
Average Point Difference:|2.37037037037

Win Percentage:|44.4444444444
