Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|69|53||Youngstown St.
Nov 9, 2018|W|94|55||VMI
Nov 12, 2018|W|84|75||Troy
Nov 15, 2018|W|97|71||Cent. Arkansas
Nov 17, 2018|W|71|66||N. Alabama
Nov 21, 2018|W|75|73||Saint Louis
Nov 27, 2018|L|68|69||Iowa
Nov 30, 2018|W|74|53||Duquesne
Dec 3, 2018|L|70|71||Niagara
Dec 8, 2018|L|59|69||West Virginia
Dec 15, 2018|W|78|43||Md.-E. Shore
Dec 20, 2018|W|99|57||New Orleans
Dec 29, 2018|W|68|54||Colgate
Jan 5, 2019|L|60|85||North Carolina
Jan 9, 2019|W|89|86 |OT|Louisville
Jan 12, 2019|L|80|86||NC State
Jan 14, 2019|W|75|62||Florida St.
Jan 19, 2019|L|63|74||Syracuse
Jan 22, 2019|L|64|79||Duke
Jan 26, 2019|L|51|66||Louisville
Jan 29, 2019|L|69|82||Clemson
Feb 2, 2019|L|56|65||Syracuse
Feb 5, 2019|L|76 |78|OT|Wake Forest
Feb 9, 2019|L|76|79||NC State
Feb 12, 2019|L|57|66||Boston College
Feb 16, 2019|L|64|70||Virginia Tech

Total Points For:|1886
Total Points Against:|1787
Average Points For:|72.5384615385
Average Points Against:|68.7307692308
Average Point Difference:|3.80769230769

Win Percentage:|46.1538461538
