Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|111|103||
Nov 10, 2018|L|64|82||Hawaii
Nov 10, 2018|L|73|78||North Texas
Nov 17, 2018|W|80|77||CSNorthridge 
Nov 19, 2018|W|77|57||
Nov 21, 2018|W|73|56||SC Upstate
Nov 23, 2018|W|72|67||Cal Poly
Nov 24, 2018|L|68|91||Texas St.
Nov 28, 2018|L|69|93||Colorado
Dec 5, 2018|L|78|87||Portland St.
Dec 8, 2018|W|76|67||Sacramento St.
Dec 15, 2018|L|58|70||Grambling
Dec 17, 2018|L|56|67||Seattle
Dec 21, 2018|W|54|39||Florida A&amp;M
Dec 29, 2018|L|64|79||CSFullerton
Jan 5, 2019|L|64|76||LMU
Jan 10, 2019|L|56|79||BYU
Jan 12, 2019|L|57|65||Pacific
Jan 17, 2019|L|55|76||San Diego
Jan 19, 2019|L|66|89||Gonzaga
Jan 24, 2019|L|61|83||San Fran.
Jan 26, 2019|L|70|74||Pacific
Jan 31, 2019|L|58|83||Pepperdine
Feb 2, 2019|L|63 |69|OT|Santa Clara
Feb 7, 2019|L|48|83||BYU
Feb 9, 2019|L|55|72||LMU
Feb 16, 2019|L|63 |68|OT|San Fran.

Total Points For:|1789
Total Points Against:|2030
Average Points For:|66.2592592593
Average Points Against:|75.1851851852
Average Point Difference:|-8.92592592593

Win Percentage:|25.9259259259
