Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|57|84||Oregon
Nov 10, 2018|W|71|64||UC Riverside
Nov 17, 2018|W|125|61||
Nov 23, 2018|L|69|76||UCSB
Nov 24, 2018|W|91|75||NW Nazarene
Nov 28, 2018|L|67|79||Stanford
Dec 1, 2018|W|123|40||Portland Bible
Dec 5, 2018|W|87|78||Portland
Dec 12, 2018|L|66|85||BYU
Dec 15, 2018|L|58|85||LMU
Dec 20, 2018|L|71|76||Cal-Baker.
Dec 31, 2018|L|60|73||N. Colorado
Jan 3, 2019|L|88|98||Montana St.
Jan 5, 2019|W|77|74 |OT|Montana
Jan 12, 2019|L|88 |95|OT|Weber St.
Jan 17, 2019|L|69|83||So. Utah
Jan 19, 2019|L|75|82||N. Arizona
Jan 24, 2019|W|78|65||E. Washington
Jan 26, 2019|W|69|53||Idaho
Jan 31, 2019|W|76|75||Weber St.
Feb 2, 2019|L|67|69||Idaho St.
Feb 7, 2019|L|62|80||N. Colorado
Feb 11, 2019|L|67|78||Sacramento St.
Feb 14, 2019|W|103|94||N. Arizona
Feb 16, 2019|W|78|69||So. Utah

Total Points For:|1942
Total Points Against:|1891
Average Points For:|77.68
Average Points Against:|75.64
Average Point Difference:|2.04

Win Percentage:|44.0
