Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|85|51||DeSales
Nov 16, 2018|L|57|72||Lehigh
Nov 21, 2018|L|66|77||F. Dickinson
Nov 24, 2018|W|60|57||Monmouth
Nov 28, 2018|W|73|59||Maine
Dec 1, 2018|W|73|52||George Wash.
Dec 5, 2018|L|82|92||Saint Joseph&#039;s
Dec 9, 2018|L|74|89||St. John&#039;s
Dec 15, 2018|W|85|81||Iona
Dec 18, 2018|L|50|101||Duke
Dec 21, 2018|W|81|79||Lafayette
Dec 29, 2018|W|67|66||Arizona St.
Jan 5, 2019|W|68|65 |OT|Penn
Jan 12, 2019|W|62|53||Penn
Jan 27, 2019|W|91|62||
Feb 1, 2019|W|55|43||Columbia
Feb 2, 2019|W|70|61 |OT|Cornell
Feb 8, 2019|L|60|74||Yale
Feb 9, 2019|L|70|78||Brown
Feb 15, 2019|L|69|78||Harvard
Feb 16, 2019|W|69|68||Dartmouth

Total Points For:|1467
Total Points Against:|1458
Average Points For:|69.8571428571
Average Points Against:|69.4285714286
Average Point Difference:|0.428571428571

Win Percentage:|61.9047619048
