Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|77|67||Siena
Nov 9, 2018|L|80|83||Wichita St.
Nov 13, 2018|W|70|61||Holy Cross
Nov 17, 2018|W|76|67||South Carolina
Nov 18, 2018|L|47|66||Michigan
Nov 24, 2018|W|91|79||Iona
Nov 27, 2018|W|69|59||F. Dickinson
Dec 1, 2018|W|59|50||Rhode Island
Dec 4, 2018|W|100|95 |OT|Boston College
Dec 7, 2018|L|78|79||Massachusetts
Dec 16, 2018|W|87|63||CCSU
Dec 18, 2018|W|73|43||Albany
Dec 21, 2018|W|71|65||Texas
Dec 31, 2018|L|68|79||Creighton
Jan 5, 2019|L|59|65||Villanova
Jan 12, 2019|L|90 |96|OT|Georgetown
Jan 15, 2019|W|72|63||Seton Hall
Jan 20, 2019|L|68|79||Marquette
Jan 23, 2019|W|64|62||Xavier
Jan 27, 2019|W|70|67||DePaul
Jan 30, 2019|L|63|65||Seton Hall
Feb 2, 2019|L|55|67||DePaul
Feb 6, 2019|L|67|76||Georgetown
Feb 9, 2019|W|70|56||St. John&#039;s
Feb 13, 2019|L|67|85||Villanova
Feb 16, 2019|L|61|75||Xavier

Total Points For:|1852
Total Points Against:|1812
Average Points For:|71.2307692308
Average Points Against:|69.6923076923
Average Point Difference:|1.53846153846

Win Percentage:|53.8461538462
